Date,Open,Close,,
2017-09-23 00:00:00,3627.21,3708.79,23,0
2017-09-22 23:00:00,3640.26,3627.21,22,1
2017-09-22 22:00:00,3599.97,3640.26,22,0
2017-09-22 21:00:00,3609.12,3599.97,22,0
2017-09-22 20:00:00,3619.01,3609.12,22,0
2017-09-22 19:00:00,3558.95,3590,22,0
2017-09-22 18:00:00,3555.02,3558.95,22,0
2017-09-22 17:00:00,3568,3555.02,22,0
2017-09-22 16:00:00,3531.57,3568,22,0
2017-09-22 15:00:00,3600.01,3531.57,22,0
2017-09-22 14:00:00,3573.34,3600.01,22,0
2017-09-22 13:00:00,3610.52,3573.34,22,0
2017-09-22 12:00:00,3558.48,3610.52,22,0
2017-09-22 11:00:00,3598.38,3558.48,22,0
2017-09-22 10:00:00,3612.19,3598.38,22,0
2017-09-22 09:00:00,3671.98,3612.19,22,0
2017-09-22 08:00:00,3678.8,3671.98,22,0
2017-09-22 07:00:00,3755,3678.8,22,0
2017-09-22 06:00:00,3726.57,3755,22,0
2017-09-22 05:00:00,3735.24,3726.57,22,0
2017-09-22 04:00:00,3704.18,3735.24,22,0
2017-09-22 03:00:00,3635.55,3704.18,22,0
2017-09-22 02:00:00,3655.01,3635.55,22,0
2017-09-22 01:00:00,3658.07,3655.01,22,0
2017-09-22 00:00:00,3617.47,3658.07,22,0
2017-09-21 23:00:00,3628,3617.47,21,1
2017-09-21 22:00:00,3648.97,3628,21,0
2017-09-21 21:00:00,3654.94,3648.97,21,0
2017-09-21 20:00:00,3634.95,3654.94,21,0
2017-09-21 19:00:00,3695.02,3634.95,21,0
2017-09-21 18:00:00,3688.58,3695.02,21,0
2017-09-21 17:00:00,3696.28,3688.58,21,0
2017-09-21 16:00:00,3754.98,3696.28,21,0
2017-09-21 15:00:00,3778.99,3754.98,21,0
2017-09-21 14:00:00,3864.96,3778.99,21,0
2017-09-21 13:00:00,3860.87,3864.96,21,0
2017-09-21 12:00:00,3862.11,3860.87,21,0
2017-09-21 11:00:00,3890.75,3862.11,21,0
2017-09-21 10:00:00,3864.25,3890.75,21,0
2017-09-21 09:00:00,3865.87,3864.25,21,0
2017-09-21 08:00:00,3898.33,3865.87,21,0
2017-09-21 07:00:00,3871.99,3898.33,21,0
2017-09-21 06:00:00,3871.89,3871.99,21,0
2017-09-21 05:00:00,3862.58,3871.89,21,0
2017-09-21 04:00:00,3833.36,3862.58,21,0
2017-09-21 03:00:00,3876.89,3833.36,21,0
2017-09-21 02:00:00,3850.08,3876.89,21,0
2017-09-21 01:00:00,3844.05,3850.08,21,0
2017-09-21 00:00:00,3867.05,3844.05,21,0
2017-09-20 23:00:00,3949.02,3867.05,20,1
2017-09-20 22:00:00,3947.92,3949.02,20,0
2017-09-20 21:00:00,3960.51,3947.92,20,0
2017-09-20 20:00:00,3952.95,3960.51,20,0
2017-09-20 19:00:00,3999,3952.95,20,0
2017-09-20 18:00:00,3994.71,3999,20,0
2017-09-20 17:00:00,4018,3994.71,20,0
2017-09-20 16:00:00,3990.7,4018,20,0
2017-09-20 15:00:00,4009.98,3990.7,20,0
2017-09-20 14:00:00,4003.4,4009.98,20,0
2017-09-20 13:00:00,3938.96,4003.4,20,0
2017-09-20 12:00:00,3920.88,3938.96,20,0
2017-09-20 11:00:00,3930,3920.88,20,0
2017-09-20 10:00:00,3923.51,3930,20,0
2017-09-20 09:00:00,3936.52,3923.51,20,0
2017-09-20 08:00:00,3949.96,3936.52,20,0
2017-09-20 07:00:00,3955.24,3949.96,20,0
2017-09-20 06:00:00,3900.84,3955.24,20,0
2017-09-20 05:00:00,3860.48,3900.84,20,0
2017-09-20 04:00:00,3889.51,3860.48,20,0
2017-09-20 03:00:00,3900.01,3889.51,20,0
2017-09-20 02:00:00,3893.54,3900.01,20,0
2017-09-20 01:00:00,3909.88,3893.54,20,0
2017-09-20 00:00:00,3910.11,3909.88,20,0
2017-09-19 23:00:00,3923.07,3910.11,19,1
2017-09-19 22:00:00,3908.91,3923.07,19,0
2017-09-19 21:00:00,3904.96,3908.91,19,0
2017-09-19 20:00:00,3910.01,3904.96,19,0
2017-09-19 19:00:00,3991.69,3910.01,19,0
2017-09-19 18:00:00,4000.12,3991.69,19,0
2017-09-19 17:00:00,4005.01,4000.12,19,0
2017-09-19 16:00:00,4020.01,4005.01,19,0
2017-09-19 15:00:00,3978.95,4020.01,19,0
2017-09-19 14:00:00,3960.09,3978.95,19,0
2017-09-19 13:00:00,4017.36,3960.09,19,0
2017-09-19 12:00:00,3999.94,4017.36,19,0
2017-09-19 11:00:00,4023.04,3999.94,19,0
2017-09-19 10:00:00,3963,4023.04,19,0
2017-09-19 09:00:00,3958.29,3963,19,0
2017-09-19 08:00:00,3913.57,3958.29,19,0
2017-09-19 07:00:00,3965.21,3913.57,19,0
2017-09-19 06:00:00,3902.45,3965.21,19,0
2017-09-19 05:00:00,3908.02,3902.45,19,0
2017-09-19 04:00:00,3990.41,3908.02,19,0
2017-09-19 03:00:00,3999.98,3990.41,19,0
2017-09-19 02:00:00,3969.44,3999.98,19,0
2017-09-19 01:00:00,4012.96,3969.44,19,0
2017-09-19 00:00:00,4100,4012.96,19,0
2017-09-18 23:00:00,4071.21,4100,18,1
2017-09-18 22:00:00,4080,4071.21,18,0
2017-09-18 21:00:00,4007.05,4080,18,0
2017-09-18 20:00:00,4020,4007.05,18,0
2017-09-18 19:00:00,4031.02,4020,18,0
2017-09-18 18:00:00,4000,4031.02,18,0
2017-09-18 17:00:00,4016.03,4000,18,0
2017-09-18 16:00:00,4032.12,4016.03,18,0
2017-09-18 15:00:00,4018,4032.12,18,0
2017-09-18 14:00:00,4110.01,4018,18,0
2017-09-18 13:00:00,4059.86,4110.01,18,0
2017-09-18 12:00:00,3960,4059.86,18,0
2017-09-18 11:00:00,3967.68,3960,18,0
2017-09-18 10:00:00,3928.72,3967.68,18,0
2017-09-18 09:00:00,3965.85,3928.72,18,0
2017-09-18 08:00:00,3955,3965.85,18,0
2017-09-18 07:00:00,3928.47,3955,18,0
2017-09-18 06:00:00,3884.88,3928.47,18,0
2017-09-18 05:00:00,3790.01,3884.88,18,0
2017-09-18 04:00:00,3791.98,3790.01,18,0
2017-09-18 03:00:00,3827.26,3791.98,18,0
2017-09-18 02:00:00,3775.01,3827.26,18,0
2017-09-18 01:00:00,3766.28,3775.01,18,0
2017-09-18 00:00:00,3719.97,3766.28,18,0
2017-09-17 23:00:00,3758.98,3719.97,17,1
2017-09-17 22:00:00,3749.38,3758.98,17,0
2017-09-17 21:00:00,3761,3749.38,17,0
2017-09-17 20:00:00,3787.02,3761,17,0
2017-09-17 19:00:00,3790.02,3787.02,17,0
2017-09-17 18:00:00,3820.81,3790.02,17,0
2017-09-17 17:00:00,3767.41,3820.81,17,0
2017-09-17 16:00:00,3716.48,3767.41,17,0
2017-09-17 15:00:00,3685,3716.48,17,0
2017-09-17 14:00:00,3690.81,3685,17,0
2017-09-17 13:00:00,3612,3690.81,17,0
2017-09-17 12:00:00,3581.12,3612,17,0
2017-09-17 11:00:00,3598.35,3581.12,17,0
2017-09-17 10:00:00,3601.88,3598.35,17,0
2017-09-17 09:00:00,3535.31,3601.88,17,0
2017-09-17 08:00:00,3530,3535.31,17,0
2017-09-17 07:00:00,3555.22,3530,17,0
2017-09-17 06:00:00,3589.01,3555.22,17,0
2017-09-17 05:00:00,3614.44,3589.01,17,0
2017-09-17 04:00:00,3639.93,3614.44,17,0
2017-09-17 03:00:00,3664.11,3639.93,17,0
2017-09-17 02:00:00,3642.1,3664.11,17,0
2017-09-17 01:00:00,3674,3642.1,17,0
2017-09-17 00:00:00,3726.51,3674,17,0
2017-09-16 23:00:00,3737.78,3726.51,16,1
2017-09-16 22:00:00,3727.99,3737.78,16,0
2017-09-16 21:00:00,3708.51,3727.99,16,0
2017-09-16 20:00:00,3723.55,3708.51,16,0
2017-09-16 19:00:00,3748.36,3723.55,16,0
2017-09-16 18:00:00,3678.35,3748.36,16,0
2017-09-16 17:00:00,3654.46,3678.35,16,0
2017-09-16 16:00:00,3620.98,3654.46,16,0
2017-09-16 15:00:00,3718,3620.98,16,0
2017-09-16 14:00:00,3759.74,3718,16,0
2017-09-16 13:00:00,3726.55,3759.74,16,0
2017-09-16 12:00:00,3814.3,3726.55,16,0
2017-09-16 11:00:00,3690.49,3814.3,16,0
2017-09-16 10:00:00,3902.29,3690.49,16,0
2017-09-16 09:00:00,3976.59,3902.29,16,0
2017-09-16 08:00:00,3932.04,3976.59,16,0
2017-09-16 07:00:00,3866.84,3932.04,16,0
2017-09-16 06:00:00,3905.84,3866.84,16,0
2017-09-16 05:00:00,3843.01,3905.84,16,0
2017-09-16 04:00:00,3823.01,3843.01,16,0
2017-09-16 03:00:00,3783.2,3823.01,16,0
2017-09-16 02:00:00,3793.38,3783.2,16,0
2017-09-16 01:00:00,3750.01,3793.38,16,0
2017-09-16 00:00:00,3740.02,3750.01,16,0
2017-09-15 23:00:00,3780.48,3740.02,15,1
2017-09-15 22:00:00,3813.35,3780.48,15,0
2017-09-15 21:00:00,3725,3813.35,15,0
2017-09-15 20:00:00,3679.55,3725,15,0
2017-09-15 19:00:00,3603.76,3679.55,15,0
2017-09-15 18:00:00,3595.22,3603.76,15,0
2017-09-15 17:00:00,3667.12,3595.22,15,0
2017-09-15 16:00:00,3850.01,3667.12,15,0
2017-09-15 15:00:00,3696.93,3850.01,15,0
2017-09-15 14:00:00,3399,3696.93,15,0
2017-09-15 13:00:00,3375.04,3399,15,0
2017-09-15 12:00:00,3027,3375.04,15,0
2017-09-15 11:00:00,3025,3027,15,0
2017-09-15 10:00:00,3049.87,3025,15,0
2017-09-15 09:00:00,3144.13,3049.87,15,0
2017-09-15 08:00:00,3123.14,3144.13,15,0
2017-09-15 07:00:00,3130,3123.14,15,0
2017-09-15 06:00:00,3334.08,3130,15,0
2017-09-15 05:00:00,3317.3,3334.08,15,0
2017-09-15 04:00:00,3367.78,3317.3,15,0
2017-09-15 03:00:00,3386.13,3367.78,15,0
2017-09-15 02:00:00,3409.98,3386.13,15,0
2017-09-15 01:00:00,3348.52,3409.98,15,0
2017-09-15 00:00:00,3250.4,3348.52,15,0
2017-09-14 23:00:00,3313.57,3250.4,14,1
2017-09-14 22:00:00,3307.96,3313.57,14,0
2017-09-14 21:00:00,3399.38,3307.96,14,0
2017-09-14 20:00:00,3361.91,3399.38,14,0
2017-09-14 19:00:00,3410.57,3361.91,14,0
2017-09-14 18:00:00,3315,3410.57,14,0
2017-09-14 17:00:00,3447.12,3315,14,0
2017-09-14 16:00:00,3520,3447.12,14,0
2017-09-14 15:00:00,3585.29,3520,14,0
2017-09-14 14:00:00,3550,3585.29,14,0
2017-09-14 13:00:00,3499,3550,14,0
2017-09-14 12:00:00,3613.08,3499,14,0
2017-09-14 11:00:00,3734.26,3613.08,14,0
2017-09-14 10:00:00,3780,3734.26,14,0
2017-09-14 09:00:00,3835.01,3780,14,0
2017-09-14 08:00:00,3870.24,3835.01,14,0
2017-09-14 07:00:00,3832.32,3870.24,14,0
2017-09-14 06:00:00,3808,3832.32,14,0
2017-09-14 05:00:00,3808.96,3808,14,0
2017-09-14 04:00:00,3800.01,3808.96,14,0
2017-09-14 03:00:00,3877.74,3800.01,14,0
2017-09-14 02:00:00,3914.57,3877.74,14,0
2017-09-14 01:00:00,3914.7,3914.57,14,0
2017-09-14 00:00:00,3855.32,3914.7,14,0
2017-09-13 23:00:00,3923.67,3855.32,13,1
